year,proportion,ngram
1961,1.3122741115978442e-08,loi de Zipf
1962,2.1286894025251968e-08,loi de Zipf
1963,3.187917130276219e-08,loi de Zipf
1964,1.40409746052228e-08,loi de Zipf
1965,1.4922015623142215e-08,loi de Zipf
1966,2.0918903942401812e-08,loi de Zipf
1967,1.2922432901518732e-08,loi de Zipf
1968,2.1174587416794566e-08,loi de Zipf
1969,2.8539501428781477e-08,loi de Zipf
1970,3.3239960117725786e-08,loi de Zipf
1971,3.1258910127007766e-08,loi de Zipf
1972,3.334917408892579e-08,loi de Zipf
1973,1.5050741097866194e-08,loi de Zipf
1974,2.9537755352748718e-08,loi de Zipf
1975,3.059159681129131e-08,loi de Zipf
1976,6.777272432145764e-08,loi de Zipf
1977,2.036196455890149e-08,loi de Zipf
1978,4.1724071309090505e-08,loi de Zipf
1979,2.6370079453386097e-08,loi de Zipf
1980,3.0989390609192924e-08,loi de Zipf
1981,2.8504297588938243e-08,loi de Zipf
1982,2.144593658215399e-08,loi de Zipf
1983,1.9841445819679393e-08,loi de Zipf
1984,1.0926467730598688e-08,loi de Zipf
1985,2.078361482915625e-08,loi de Zipf
1986,1.3177965385580137e-08,loi de Zipf
1987,2.3033081220091844e-08,loi de Zipf
1988,4.519717933249012e-08,loi de Zipf
1989,2.413033861614622e-08,loi de Zipf
1990,1.139484417933545e-08,loi de Zipf
1991,7.972315252402495e-09,loi de Zipf
1992,2.016192013343243e-08,loi de Zipf
1993,7.527884093860848e-09,loi de Zipf
1994,1.2128389847987364e-08,loi de Zipf
1995,1.5860203816941976e-08,loi de Zipf
1996,1.5609513681624776e-08,loi de Zipf
1997,2.3523238468214913e-08,loi de Zipf
1998,1.9405934637006794e-08,loi de Zipf
1999,6.676127650706576e-09,loi de Zipf
2000,1.152264772485978e-08,loi de Zipf
2001,8.684457597496476e-09,loi de Zipf
2002,4.568885714206772e-09,loi de Zipf
2003,1.2599111975930555e-08,loi de Zipf
2004,9.1847569549941e-09,loi de Zipf
2005,7.982841943032781e-09,loi de Zipf
2006,1.1166272351204043e-08,loi de Zipf
2007,2.5023755512165735e-08,loi de Zipf
2008,2.711168534119679e-08,loi de Zipf
2009,9.963830649439842e-09,loi de Zipf
2010,7.903937948583462e-09,loi de Zipf
2011,1.6806515290568314e-08,loi de Zipf
2012,2.890545580669368e-08,loi de Zipf
2013,9.250717880604498e-08,loi de Zipf
2014,7.50589990161643e-09,loi de Zipf
2015,1.2804488136453074e-08,loi de Zipf
2016,9.358135599768502e-09,loi de Zipf
2017,5.0260124950796126e-09,loi de Zipf
2018,1.3036081547568301e-08,loi de Zipf
2019,5.637206701436526e-09,loi de Zipf
1800,0.0,legge di Zipf
1801,0.0,legge di Zipf
1802,0.0,legge di Zipf
1803,0.0,legge di Zipf
1804,0.0,legge di Zipf
1805,0.0,legge di Zipf
